NO_OF_FRAMES	438
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:08:24.823	197801.91540150
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
37	0.36000	1380.668	-494.978	1376.186	1452.733	-518.555	1080.952	1616.370	-376.905	936.588	1743.198	-318.650	879.031	1691.302	-296.689	877.967
38	0.37000	1381.892	-494.736	1376.014	1453.846	-518.306	1080.830	1617.456	-376.580	936.544	1745.695	-318.780	879.468	1691.703	-295.808	878.102
39	0.38000	1383.218	-494.531	1375.892	1454.880	-518.400	1080.771	1618.536	-376.301	936.728	1748.078	-319.069	879.535	1692.914	-295.095	879.614
40	0.39000	1384.397	-494.188	1375.674	1455.828	-518.434	1080.713	1619.338	-376.087	936.591	1750.361	-319.173	880.104	1692.142	-294.421	878.054
41	0.40000	1385.578	-494.097	1375.473	1456.812	-518.501	1080.705	1620.354	-376.012	936.863	1752.182	-319.305	880.210	1692.390	-293.662	878.027
42	0.41000	1386.809	-493.781	1375.223	1457.689	-518.602	1080.627	1621.333	-375.975	936.976	1754.143	-319.417	880.550	1692.056	-291.704	878.291
43	0.42000	1387.829	-493.669	1375.098	1458.580	-518.619	1080.491	1622.278	-375.896	937.080	1756.345	-318.861	880.713	1692.224	-291.163	878.344
44	0.43000	1388.916	-493.511	1375.078	1459.658	-518.446	1080.447	1623.247	-375.504	937.324	1758.668	-318.991	881.292	1692.467	-290.743	878.432
45	0.44000	1389.915	-493.362	1374.813	1460.685	-518.521	1080.166	1624.293	-375.463	937.589	1760.799	-318.884	881.641	1692.553	-289.906	878.550
46	0.45000	1390.833	-493.357	1374.699	1461.676	-518.636	1080.224	1625.243	-375.371	937.686	1762.921	-318.236	882.082	1692.815	-289.341	878.622
47	0.46000	1391.798	-493.247	1374.608	1462.596	-518.527	1080.403	1626.205	-375.200	937.736	1764.755	-317.868	882.416	1693.504	-289.028	878.755
48	0.47000	1392.665	-493.039	1374.462	1463.569	-518.678	1080.418	1627.075	-375.101	937.898	1766.464	-317.364	882.967	1693.975	-288.779	878.895
49	0.48000	1393.545	-492.955	1374.467	1464.610	-518.718	1080.508	1628.300	-374.969	938.531	1768.133	-316.198	883.620	1693.812	-287.721	878.401
50	0.49000	1394.409	-492.776	1374.313	1465.670	-518.743	1080.567	1629.351	-374.831	938.874	1769.391	-315.059	884.209	1693.902	-286.698	878.387
51	0.50000	1395.297	-492.593	1374.207	1466.715	-518.693	1080.762	1630.583	-374.519	939.348	1770.389	-313.324	884.650	1694.498	-286.357	878.636
52	0.51000	1396.127	-492.529	1374.098	1467.773	-518.658	1080.767	1631.728	-374.220	939.608	1771.062	-311.730	884.792	1694.845	-285.694	878.920
53	0.52000	1396.981	-492.401	1373.992	1468.995	-518.544	1080.801	1632.813	-374.066	939.837	1771.589	-310.230	884.679	1695.209	-285.215	879.068
54	0.53000	1397.754	-492.147	1373.741	1470.127	-518.401	1080.890	1633.810	-373.863	940.005	1772.442	-308.696	884.750	1695.660	-284.891	879.037
55	0.54000	1398.638	-492.009	1373.634	1471.265	-518.225	1080.927	1634.906	-373.452	940.163	1773.452	-307.605	885.201	1695.965	-284.098	878.960
56	0.55000	1399.535	-491.893	1373.555	1472.368	-518.267	1081.040	1636.008	-372.977	940.452	1774.227	-306.122	885.367	1696.221	-283.124	878.884
57	0.56000	1400.220	-491.769	1373.442	1473.436	-518.078	1081.054	1637.165	-372.694	940.818	1775.040	-304.753	885.884	1696.524	-282.253	878.855
58	0.57000	1401.143	-491.551	1373.306	1474.574	-518.061	1081.071	1638.124	-372.455	940.831	1775.533	-303.910	885.509	1696.970	-281.773	878.919
59	0.58000	1401.944	-491.431	1373.170	1475.517	-517.925	1081.058	1639.146	-372.224	940.968	1776.374	-302.428	885.751	1697.480	-281.463	878.964
60	0.59000	1402.698	-491.347	1373.010	1476.523	-517.759	1081.018	1640.156	-371.954	941.164	1776.617	-301.199	885.342	1697.985	-280.931	879.017
61	0.60000	1403.495	-491.090	1372.719	1477.509	-517.497	1080.860	1641.125	-371.483	941.329	1777.240	-300.087	885.424	1698.354	-280.325	879.356
62	0.61000	1404.294	-490.928	1372.563	1478.383	-517.297	1080.820	1642.175	-371.271	941.499	1777.365	-298.681	885.111	1698.985	-280.279	879.475
63	0.62000	1405.085	-490.934	1372.352	1479.149	-517.199	1080.768	1643.111	-371.078	941.681	1777.441	-297.603	884.869	1698.936	-279.253	879.260
64	0.63000	1405.810	-490.715	1372.092	1479.971	-517.175	1080.682	1643.991	-370.875	941.895	1777.618	-296.172	884.727	1698.949	-278.250	878.871
