NO_OF_FRAMES	3291
NO_OF_CAMERAS	10
NO_OF_MARKERS	8
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:24:35.810	198772.96539480
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb	Middle	Ring	Pinky
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	Middle X	Middle Y	Middle Z	Ring X	Ring Y	Ring Z	Pinky X	Pinky Y	Pinky Z	
23	0.22000	1360.170	-544.853	1312.913	1352.384	-567.025	1025.076	1598.402	-559.126	1017.516	1771.772	-556.806	1034.593	1702.925	-613.196	1043.139	1783.564	-532.437	1030.243	1771.963	-505.621	1020.906	1749.093	-482.113	1007.655
24	0.23000	1360.196	-544.870	1312.896	1352.379	-566.969	1025.030	1598.423	-559.108	1017.528	1771.773	-556.820	1034.597	1702.899	-613.191	1043.121	1783.506	-532.373	1030.209	1772.016	-505.581	1021.003	1749.090	-482.172	1007.798
25	0.24000	1360.214	-544.832	1312.891	1352.378	-566.978	1025.025	1598.433	-559.151	1017.545	1771.888	-557.029	1034.723	1702.911	-613.242	1043.136	1783.495	-532.478	1030.241	1771.923	-505.644	1020.986	1749.081	-482.195	1007.856
26	0.25000	1360.215	-544.823	1312.890	1352.336	-566.978	1025.035	1598.395	-559.161	1017.559	1771.744	-556.853	1034.552	1702.853	-613.247	1043.091	1783.513	-532.455	1030.255	1771.883	-505.686	1020.925	1749.114	-482.209	1007.992
27	0.26000	1360.184	-544.794	1312.920	1352.361	-566.980	1025.075	1598.396	-559.207	1017.540	1771.742	-556.874	1034.532	1702.844	-613.247	1043.082	1783.473	-532.479	1030.264	1771.924	-505.644	1020.985	1749.108	-482.262	1008.028
28	0.27000	1360.199	-544.781	1312.877	1352.336	-566.979	1025.034	1598.395	-559.199	1017.578	1771.852	-557.058	1034.689	1702.842	-613.243	1043.098	1783.483	-532.490	1030.297	1771.898	-505.627	1021.022	1749.133	-482.294	1007.871
29	0.28000	1360.208	-544.795	1312.929	1352.379	-566.954	1025.046	1598.408	-559.131	1017.540	1771.849	-557.049	1034.717	1702.853	-613.200	1043.117	1783.529	-532.483	1030.316	1771.922	-505.638	1020.998	1749.239	-482.300	1007.783
30	0.29000	1360.205	-544.768	1312.872	1352.359	-566.989	1025.070	1598.420	-559.167	1017.547	1771.860	-557.069	1034.700	1702.856	-613.216	1043.175	1783.537	-532.493	1030.305	1771.884	-505.637	1020.988	1749.224	-482.385	1007.572
31	0.30000	1360.214	-544.753	1312.877	1352.353	-566.941	1025.020	1598.445	-559.136	1017.516	1771.719	-556.851	1034.578	1702.863	-613.189	1043.185	1783.544	-532.435	1030.244	1771.943	-505.621	1020.953	1749.308	-482.393	1007.508
32	0.31000	1360.210	-544.751	1312.890	1352.378	-566.962	1025.041	1598.421	-559.189	1017.553	1771.885	-557.020	1034.732	1702.869	-613.171	1043.180	1783.558	-532.489	1030.269	1771.918	-505.658	1020.945	1749.241	-482.434	1007.386
33	0.32000	1360.213	-544.728	1312.909	1352.353	-566.941	1025.019	1598.414	-559.178	1017.609	1771.907	-557.019	1034.726	1702.876	-613.179	1043.154	1783.504	-532.441	1030.217	1771.968	-505.550	1020.987	1749.262	-482.342	1007.420
34	0.33000	1360.243	-544.728	1312.884	1352.354	-566.914	1025.043	1598.418	-559.195	1017.582	1771.893	-557.007	1034.705	1702.955	-613.036	1043.120	1783.581	-532.450	1030.271	1771.959	-505.527	1021.004	1749.197	-482.256	1007.370
35	0.34000	1360.254	-544.732	1312.877	1352.422	-566.950	1025.035	1598.430	-559.145	1017.496	1771.992	-556.933	1034.884	1702.897	-613.182	1043.187	1783.545	-532.446	1030.229	1771.945	-505.578	1021.002	1749.266	-482.243	1007.361
36	0.35000	1360.260	-544.697	1312.888	1352.378	-566.964	1025.038	1598.442	-559.133	1017.541	1771.858	-557.036	1034.723	1702.929	-613.017	1043.108	1783.588	-532.463	1030.249	1771.954	-505.580	1020.993	1749.232	-482.236	1007.221
37	0.36000	1360.289	-544.714	1312.890	1352.379	-566.958	1025.042	1598.418	-559.192	1017.626	1771.780	-556.867	1034.590	1702.961	-613.057	1043.188	1783.631	-532.468	1030.244	1771.942	-505.619	1020.950	1749.276	-482.240	1007.018
38	0.37000	1360.287	-544.713	1312.892	1352.361	-567.005	1025.050	1598.417	-559.173	1017.590	1771.898	-557.015	1034.736	1702.983	-613.003	1043.192	1783.600	-532.436	1030.191	1772.003	-505.572	1020.977	1749.301	-482.199	1006.836
39	0.38000	1360.304	-544.686	1312.881	1352.361	-566.985	1025.070	1598.423	-559.142	1017.540	1771.887	-556.966	1034.712	1702.956	-612.994	1043.154	1783.589	-532.448	1030.186	1771.908	-505.600	1020.869	1749.188	-482.099	1006.473
40	0.39000	1360.324	-544.696	1312.905	1352.335	-566.972	1025.045	1598.461	-559.137	1017.544	1771.790	-556.819	1034.568	1702.974	-612.964	1043.140	1783.606	-532.423	1030.158	1771.929	-505.558	1020.881	1749.241	-482.089	1006.352
41	0.40000	1360.330	-544.693	1312.887	1352.361	-566.986	1025.069	1598.433	-559.171	1017.572	1771.767	-556.748	1034.585	1702.963	-612.976	1043.161	1783.552	-532.309	1030.123	1772.017	-505.532	1020.944	1749.331	-482.064	1006.314
42	0.41000	1360.366	-544.684	1312.889	1352.359	-566.992	1025.066	1598.435	-559.172	1017.606	1771.905	-556.669	1034.737	1702.980	-612.985	1043.202	1783.563	-532.279	1030.110	1771.871	-505.558	1020.992	1749.367	-482.030	1006.351
43	0.42000	1360.379	-544.657	1312.895	1352.378	-566.966	1025.036	1598.404	-559.147	1017.595	1771.909	-556.690	1034.742	1702.986	-612.984	1043.193	1783.535	-532.313	1030.125	1771.911	-505.515	1021.046	1749.310	-482.041	1006.359
44	0.43000	1360.373	-544.659	1312.896	1352.379	-566.978	1025.021	1598.430	-559.123	1017.557	1771.903	-556.686	1034.731	1703.006	-612.977	1043.154	1783.579	-532.407	1030.191	1771.881	-505.552	1021.038	1749.277	-481.963	1006.352
45	0.44000	1360.381	-544.680	1312.859	1352.359	-567.015	1025.044	1598.442	-559.135	1017.528	1771.915	-556.693	1034.753	1702.999	-612.987	1043.162	1783.616	-532.400	1030.213	1771.878	-505.525	1021.050	1749.220	-481.858	1006.361
46	0.45000	1360.393	-544.659	1312.865	1352.355	-566.958	1024.999	1598.430	-559.129	1017.539	1771.912	-556.671	1034.746	1702.986	-612.962	1043.123	1783.534	-532.314	1030.131	1771.940	-505.463	1021.094	1749.209	-481.751	1006.432
47	0.46000	1360.409	-544.687	1312.872	1352.421	-566.961	1025.028	1598.440	-559.183	1017.576	1771.810	-556.751	1034.596	1702.997	-612.951	1043.180	1783.615	-532.398	1030.238	1771.827	-505.480	1021.098	1749.173	-481.675	1006.511
48	0.47000	1360.429	-544.695	1312.893	1352.422	-566.974	1025.011	1598.438	-559.116	1017.559	1771.951	-556.918	1034.717	1702.953	-612.959	1043.185	1783.566	-532.311	1030.164	1771.749	-505.488	1021.113	1749.125	-481.645	1006.561
49	0.48000	1360.428	-544.666	1312.850	1352.404	-566.981	1025.060	1598.431	-559.114	1017.545	1771.966	-556.824	1034.848	1703.010	-612.949	1043.155	1783.495	-532.299	1030.106	1771.839	-505.487	1021.236	1749.012	-481.622	1006.583
50	0.49000	1360.447	-544.667	1312.868	1352.396	-566.940	1025.007	1598.451	-559.102	1017.510	1771.916	-556.701	1034.748	1702.992	-612.922	1043.120	1783.607	-532.412	1030.201	1771.775	-505.507	1021.252	1749.027	-481.576	1006.684
51	0.50000	1360.395	-544.662	1312.845	1352.361	-566.989	1025.066	1598.430	-559.167	1017.557	1771.993	-556.866	1034.880	1703.009	-612.958	1043.139	1783.541	-532.302	1030.131	1771.832	-505.453	1021.213	1748.968	-481.565	1006.853
52	0.51000	1360.461	-544.669	1312.832	1352.404	-567.003	1025.038	1598.417	-559.183	1017.602	1772.018	-556.899	1034.916	1702.984	-612.964	1043.109	1783.572	-532.305	1030.179	1771.769	-505.433	1021.237	1748.999	-481.544	1006.888
53	0.52000	1360.450	-544.676	1312.864	1352.378	-566.989	1025.014	1598.408	-559.155	1017.572	1771.968	-556.863	1034.882	1702.976	-612.961	1043.117	1783.633	-532.395	1030.188	1771.809	-505.440	1021.232	1749.081	-481.513	1006.755
54	0.53000	1360.458	-544.665	1312.849	1352.361	-567.010	1025.045	1598.413	-559.162	1017.531	1771.846	-556.704	1034.736	1702.979	-612.944	1043.141	1783.593	-532.375	1030.167	1771.818	-505.394	1021.218	1749.507	-481.260	1006.687
55	0.54000	1360.447	-544.684	1312.867	1352.378	-566.989	1025.014	1598.398	-559.138	1017.536	1771.716	-556.792	1034.589	1702.966	-612.943	1043.176	1783.613	-532.377	1030.158	1771.779	-505.444	1021.148	1749.610	-481.238	1006.492
56	0.55000	1360.427	-544.664	1312.844	1352.378	-566.969	1025.034	1598.456	-559.156	1017.574	1771.882	-556.680	1034.765	1703.016	-612.958	1043.213	1783.612	-532.394	1030.154	1771.808	-505.450	1021.140	1749.339	-481.516	1006.027
57	0.56000	1360.511	-544.701	1312.858	1352.379	-566.983	1025.016	1598.418	-559.170	1017.565	1772.001	-556.865	1034.917	1702.978	-612.916	1043.159	1783.543	-532.301	1030.115	1771.821	-505.407	1021.191	1749.360	-481.565	1005.853
58	0.57000	1360.482	-544.696	1312.842	1352.401	-567.018	1025.030	1598.428	-559.118	1017.560	1771.892	-556.695	1034.769	1703.003	-612.955	1043.161	1783.573	-532.257	1030.143	1771.858	-505.402	1021.216	1749.405	-481.442	1005.727
59	0.58000	1360.489	-544.688	1312.841	1352.421	-566.983	1025.006	1598.443	-559.113	1017.548	1771.845	-556.780	1034.654	1703.002	-612.938	1043.177	1783.567	-532.278	1030.130	1771.869	-505.382	1021.248	1749.377	-481.432	1005.660
60	0.59000	1360.516	-544.719	1312.854	1352.402	-567.012	1025.032	1598.464	-559.131	1017.547	1771.820	-556.776	1034.589	1703.023	-612.913	1043.155	1783.573	-532.233	1030.119	1771.855	-505.367	1021.238	1749.316	-481.399	1005.640
61	0.60000	1360.513	-544.710	1312.854	1352.421	-566.982	1025.006	1598.469	-559.136	1017.569	1771.909	-556.662	1034.793	1703.028	-612.925	1043.213	1783.563	-532.255	1030.148	1771.789	-505.343	1021.281	1749.505	-481.160	1005.785
62	0.61000	1360.554	-544.705	1312.852	1352.427	-567.033	1025.054	1598.435	-559.109	1017.555	1772.004	-556.766	1034.865	1703.023	-612.897	1043.174	1783.512	-532.250	1030.128	1771.721	-505.354	1021.287	1749.726	-480.913	1006.062
63	0.62000	1360.543	-544.747	1312.820	1352.359	-567.019	1025.040	1598.460	-559.117	1017.562	1771.888	-556.617	1034.746	1703.001	-612.905	1043.206	1783.559	-532.257	1030.172	1771.821	-505.289	1021.396	1749.586	-481.074	1006.022
64	0.63000	1360.561	-544.720	1312.806	1352.402	-567.011	1025.033	1598.473	-559.137	1017.563	1771.989	-556.655	1034.782	1703.047	-612.917	1043.185	1783.528	-532.319	1030.174	1771.777	-505.353	1021.464	1749.260	-481.365	1005.870
65	0.64000	1360.577	-544.736	1312.843	1352.421	-566.985	1025.003	1598.467	-559.130	1017.538	1771.845	-556.748	1034.624	1703.044	-612.970	1043.149	1783.523	-532.284	1030.206	1771.796	-505.365	1021.544	1749.613	-481.072	1006.195
66	0.65000	1360.568	-544.780	1312.818	1352.385	-567.033	1025.064	1598.474	-559.118	1017.529	1771.891	-556.662	1034.728	1703.043	-612.979	1043.124	1783.582	-532.381	1030.270	1771.819	-505.318	1021.633	1749.328	-481.449	1006.059
67	0.66000	1360.573	-544.752	1312.850	1352.378	-566.992	1025.011	1598.449	-559.188	1017.590	1771.906	-556.934	1034.728	1703.055	-612.955	1043.124	1783.507	-532.309	1030.182	1771.845	-505.318	1021.609	1749.589	-481.158	1006.217
68	0.67000	1360.594	-544.781	1312.845	1352.384	-567.040	1025.060	1598.411	-559.176	1017.576	1771.853	-557.009	1034.712	1703.005	-612.972	1043.140	1783.531	-532.317	1030.193	1771.772	-505.328	1021.590	1749.537	-481.188	1006.220
69	0.68000	1360.565	-544.794	1312.817	1352.396	-566.985	1024.961	1598.444	-559.166	1017.560	1771.871	-557.009	1034.699	1702.997	-613.004	1043.132	1783.527	-532.306	1030.184	1771.663	-505.381	1021.536	1749.597	-481.217	1006.282
70	0.69000	1360.602	-544.780	1312.831	1352.377	-566.999	1025.007	1598.463	-559.172	1017.560	1771.917	-556.984	1034.742	1703.029	-612.996	1043.139	1783.549	-532.314	1030.176	1771.709	-505.373	1021.582	1749.659	-481.192	1006.314
