NO_OF_FRAMES	521
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:07:47.938	197765.02714200
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Mixed
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
1	0.00000	1197.533	-530.938	1405.983	1160.626	-597.227	1099.849	1329.343	-503.078	932.622	1448.132	-484.259	873.423	1430.882	-465.317	876.348
2	0.01000	1197.557	-530.913	1406.050	1160.666	-597.255	1099.885	1329.351	-503.103	932.670	1448.107	-484.285	873.425	1430.887	-465.295	876.386
3	0.02000	1197.578	-530.866	1406.106	1160.710	-597.262	1099.969	1329.324	-503.104	932.646	1448.226	-484.353	873.502	1430.874	-465.320	876.365
4	0.03000	1197.597	-530.836	1406.173	1160.785	-597.300	1100.001	1329.392	-503.100	932.683	1448.138	-484.290	873.429	1430.920	-465.317	876.365
5	0.04000	1197.619	-530.770	1406.217	1160.807	-597.311	1100.055	1329.388	-503.102	932.660	1448.132	-484.280	873.415	1430.885	-465.298	876.355
6	0.05000	1197.629	-530.717	1406.257	1160.916	-597.321	1100.122	1329.314	-503.107	932.606	1448.129	-484.283	873.386	1430.852	-465.294	876.317
7	0.06000	1197.623	-530.707	1406.302	1160.964	-597.305	1100.182	1329.370	-503.080	932.643	1448.162	-484.270	873.410	1430.849	-465.310	876.317
8	0.07000	1197.635	-530.664	1406.375	1160.887	-597.483	1100.296	1329.380	-503.067	932.745	1448.150	-484.270	873.444	1430.847	-465.329	876.362
9	0.08000	1197.671	-530.617	1406.435	1160.936	-597.537	1100.369	1329.408	-503.105	932.779	1448.236	-484.324	873.523	1430.937	-465.267	876.451
10	0.09000	1197.651	-530.580	1406.488	1160.992	-597.564	1100.428	1329.498	-503.071	932.812	1448.171	-484.249	873.469	1430.964	-465.286	876.448
11	0.10000	1197.656	-530.536	1406.512	1161.001	-597.567	1100.454	1329.445	-503.103	932.806	1448.160	-484.240	873.453	1430.957	-465.276	876.423
12	0.11000	1197.690	-530.493	1406.559	1161.072	-597.525	1100.523	1329.450	-503.061	932.787	1448.177	-484.258	873.473	1430.901	-465.228	876.406
13	0.12000	1197.673	-530.433	1406.601	1161.094	-597.563	1100.563	1329.440	-503.067	932.805	1448.173	-484.233	873.453	1430.897	-465.254	876.399
14	0.13000	1197.639	-530.398	1406.613	1161.085	-597.594	1100.621	1329.432	-503.051	932.813	1448.183	-484.292	873.488	1430.969	-465.231	876.424
15	0.14000	1197.619	-530.388	1406.658	1161.129	-597.565	1100.675	1329.469	-503.089	932.860	1448.191	-484.242	873.479	1430.950	-465.279	876.448
16	0.15000	1197.624	-530.296	1406.713	1161.177	-597.549	1100.684	1329.476	-503.113	932.875	1448.179	-484.268	873.452	1430.940	-465.275	876.460
17	0.16000	1197.597	-530.249	1406.720	1161.199	-597.558	1100.734	1329.501	-503.106	932.866	1448.220	-484.249	873.510	1430.955	-465.292	876.455
18	0.17000	1197.585	-530.199	1406.752	1161.209	-597.550	1100.739	1329.478	-503.073	932.853	1448.171	-484.254	873.458	1430.947	-465.284	876.435
19	0.18000	1197.562	-530.156	1406.797	1161.230	-597.536	1100.795	1329.452	-503.059	932.840	1448.211	-484.246	873.462	1430.921	-465.278	876.423
20	0.19000	1197.526	-530.102	1406.784	1161.217	-597.526	1100.793	1329.484	-503.069	932.852	1448.206	-484.237	873.453	1430.897	-465.270	876.427
21	0.20000	1197.476	-530.060	1406.883	1161.200	-597.513	1100.781	1329.490	-503.089	932.880	1448.167	-484.256	873.464	1430.899	-465.267	876.431
22	0.21000	1197.426	-530.015	1406.886	1161.234	-597.485	1100.816	1329.513	-503.069	932.881	1448.235	-484.266	873.498	1430.953	-465.239	876.456
23	0.22000	1197.378	-529.972	1406.895	1161.258	-597.432	1100.777	1329.467	-503.066	932.879	1448.205	-484.238	873.505	1430.915	-465.231	876.443
24	0.23000	1197.390	-529.912	1406.905	1161.204	-597.414	1100.830	1329.428	-503.080	932.898	1448.163	-484.233	873.486	1430.968	-465.289	876.478
25	0.24000	1197.347	-529.784	1406.843	1161.185	-597.399	1100.787	1329.486	-503.074	932.867	1448.258	-484.309	873.517	1430.950	-465.235	876.450
26	0.25000	1197.277	-529.691	1406.904	1161.208	-597.200	1100.759	1329.458	-503.035	932.872	1448.174	-484.226	873.488	1430.876	-465.246	876.419
27	0.26000	1197.271	-529.661	1406.825	1161.099	-597.318	1100.801	1329.455	-503.033	932.883	1448.174	-484.228	873.478	1430.885	-465.222	876.428
28	0.27000	1197.233	-529.508	1406.838	1161.068	-597.275	1100.817	1329.408	-503.051	932.871	1448.201	-484.224	873.496	1430.920	-465.237	876.410
29	0.28000	1197.163	-529.543	1406.891	1161.064	-597.132	1100.729	1329.444	-503.020	932.912	1448.225	-484.315	873.516	1430.971	-465.273	876.465
30	0.29000	1197.152	-529.428	1406.834	1161.080	-597.086	1100.723	1329.438	-503.038	932.922	1448.259	-484.307	873.568	1430.905	-465.283	876.446
31	0.30000	1197.080	-529.362	1406.810	1161.003	-597.075	1100.757	1329.461	-503.033	932.950	1448.244	-484.303	873.546	1430.973	-465.244	876.476
32	0.31000	1197.007	-529.334	1406.819	1160.961	-597.021	1100.731	1329.407	-503.006	932.898	1448.268	-484.305	873.559	1430.935	-465.226	876.453
33	0.32000	1197.037	-529.157	1406.683	1160.914	-597.102	1100.778	1329.436	-503.025	932.872	1448.214	-484.297	873.529	1430.932	-465.233	876.411
34	0.33000	1197.003	-529.105	1406.652	1160.879	-596.971	1100.689	1329.415	-503.000	932.861	1448.173	-484.237	873.486	1430.922	-465.223	876.399
35	0.34000	1196.931	-529.095	1406.676	1160.852	-596.886	1100.685	1329.432	-502.995	932.916	1448.203	-484.216	873.503	1430.909	-465.271	876.437
36	0.35000	1196.892	-529.041	1406.677	1160.815	-596.868	1100.696	1329.491	-503.025	932.946	1448.194	-484.248	873.491	1430.938	-465.234	876.498
37	0.36000	1196.831	-529.018	1406.658	1160.748	-596.855	1100.675	1329.463	-503.019	932.944	1448.216	-484.256	873.542	1430.928	-465.231	876.483
38	0.37000	1196.812	-528.964	1406.638	1160.674	-596.803	1100.627	1329.448	-502.991	932.948	1448.195	-484.234	873.512	1430.918	-465.256	876.489
39	0.38000	1196.752	-528.964	1406.627	1160.649	-596.781	1100.598	1329.448	-502.971	932.928	1448.163	-484.251	873.496	1430.912	-465.257	876.420
40	0.39000	1196.750	-528.902	1406.575	1160.570	-596.719	1100.603	1329.438	-502.971	932.841	1448.223	-484.263	873.550	1430.931	-465.230	876.454
