NO_OF_FRAMES	2000
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:12:23.192	198040.29905730
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
37	0.36000	1216.060	-462.291	1399.490	1154.310	-540.708	1099.648	1317.681	-471.690	923.631	1437.144	-479.543	873.715	1423.908	-455.572	876.165
38	0.37000	1215.896	-462.225	1399.471	1154.218	-540.691	1099.613	1317.627	-471.716	923.612	1437.209	-479.473	873.724	1424.032	-455.742	876.266
39	0.38000	1215.766	-462.167	1399.466	1154.120	-540.643	1099.601	1317.547	-471.689	923.610	1437.167	-479.463	873.711	1423.866	-455.599	876.099
40	0.39000	1215.617	-462.050	1399.425	1154.023	-540.522	1099.613	1317.572	-471.677	923.610	1437.153	-479.455	873.694	1424.059	-455.731	876.293
41	0.40000	1215.473	-462.032	1399.426	1153.938	-540.467	1099.631	1317.579	-471.646	923.648	1437.130	-479.531	873.675	1423.890	-455.549	876.146
42	0.41000	1215.429	-461.933	1399.408	1153.909	-540.340	1099.588	1317.573	-471.629	923.617	1437.062	-479.529	873.654	1424.013	-455.716	876.260
43	0.42000	1215.337	-461.743	1399.250	1153.864	-540.265	1099.573	1317.602	-471.622	923.631	1437.168	-479.429	873.698	1423.841	-455.613	876.132
44	0.43000	1215.290	-461.630	1399.194	1153.795	-540.170	1099.507	1317.600	-471.608	923.643	1437.144	-479.471	873.672	1424.009	-455.760	876.283
45	0.44000	1215.285	-461.395	1399.111	1153.739	-540.066	1099.546	1317.561	-471.569	923.653	1437.099	-479.442	873.696	1423.885	-455.587	876.134
46	0.45000	1215.396	-461.257	1399.026	1153.714	-539.948	1099.543	1317.539	-471.591	923.637	1437.073	-479.445	873.651	1423.836	-455.581	876.119
47	0.46000	1215.584	-461.101	1398.940	1153.692	-539.870	1099.541	1317.504	-471.512	923.564	1437.069	-479.424	873.630	1423.810	-455.564	876.098
48	0.47000	1215.850	-461.025	1398.863	1153.698	-539.750	1099.507	1317.478	-471.479	923.490	1437.060	-479.386	873.634	1423.913	-455.723	876.210
49	0.48000	1216.118	-460.987	1398.772	1153.717	-539.690	1099.506	1317.537	-471.427	923.531	1437.074	-479.432	873.663	1423.938	-455.683	876.228
50	0.49000	1216.455	-460.874	1398.752	1153.762	-539.628	1099.504	1317.562	-471.362	923.507	1437.089	-479.431	873.689	1423.778	-455.537	876.099
51	0.50000	1216.762	-460.848	1398.664	1153.866	-539.585	1099.475	1317.642	-471.360	923.497	1437.080	-479.435	873.686	1423.805	-455.553	876.102
52	0.51000	1217.094	-460.847	1398.611	1153.979	-539.613	1099.516	1317.660	-471.345	923.465	1437.093	-479.437	873.684	1423.846	-455.517	876.093
53	0.52000	1217.401	-460.816	1398.563	1154.119	-539.609	1099.520	1317.676	-471.284	923.413	1437.099	-479.392	873.646	1423.845	-455.542	876.112
54	0.53000	1217.778	-460.742	1398.550	1154.287	-539.483	1099.492	1317.707	-471.291	923.465	1437.131	-479.411	873.681	1423.847	-455.521	876.101
55	0.54000	1218.126	-460.726	1398.552	1154.451	-539.533	1099.536	1317.616	-471.292	923.388	1437.101	-479.400	873.634	1423.834	-455.530	876.087
56	0.55000	1218.468	-460.846	1398.699	1154.463	-539.770	1099.760	1317.612	-471.351	923.411	1437.086	-479.386	873.659	1423.792	-455.534	876.093
57	0.56000	1218.745	-460.814	1398.730	1154.578	-539.910	1099.952	1317.674	-471.312	923.465	1437.079	-479.415	873.669	1423.886	-455.535	876.130
58	0.57000	1218.978	-460.750	1398.721	1154.702	-539.941	1100.044	1317.675	-471.360	923.518	1437.087	-479.444	873.679	1423.869	-455.576	876.163
59	0.58000	1219.228	-460.675	1398.757	1154.781	-540.031	1100.170	1317.647	-471.410	923.502	1437.114	-479.440	873.687	1423.831	-455.549	876.134
60	0.59000	1219.386	-460.637	1398.763	1154.971	-539.897	1100.157	1317.648	-471.394	923.523	1437.153	-479.429	873.665	1423.903	-455.695	876.236
