NO_OF_FRAMES	963
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:07:27.539	197744.62702840
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Mixed
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
37	0.36000	1182.309	-525.867	1403.837	1153.044	-593.607	1096.363	1325.496	-502.519	932.145	1444.654	-480.953	873.695	1426.429	-463.469	876.965
38	0.37000	1182.316	-525.859	1403.833	1153.008	-593.598	1096.340	1325.543	-502.482	932.165	1444.629	-480.943	873.701	1426.452	-463.461	876.979
39	0.38000	1182.311	-525.862	1403.804	1153.004	-593.585	1096.356	1325.515	-502.474	932.134	1444.600	-480.926	873.671	1426.428	-463.460	876.913
40	0.39000	1182.345	-525.864	1403.812	1153.014	-593.585	1096.373	1325.514	-502.472	932.119	1444.583	-480.929	873.634	1426.387	-463.458	876.898
41	0.40000	1182.353	-525.851	1403.813	1153.014	-593.598	1096.356	1325.502	-502.495	932.097	1444.570	-480.938	873.660	1426.413	-463.445	876.895
42	0.41000	1182.309	-525.871	1403.819	1153.033	-593.615	1096.363	1325.525	-502.466	932.143	1444.544	-480.923	873.615	1426.398	-463.456	876.925
43	0.42000	1182.302	-525.875	1403.820	1153.050	-593.646	1096.349	1325.564	-502.473	932.153	1444.631	-480.946	873.685	1426.464	-463.463	876.937
44	0.43000	1182.277	-525.880	1403.830	1153.039	-593.574	1096.345	1325.533	-502.485	932.109	1444.601	-480.931	873.697	1426.397	-463.461	876.948
45	0.44000	1182.300	-525.881	1403.821	1153.030	-593.612	1096.355	1325.549	-502.488	932.115	1444.639	-480.944	873.708	1426.438	-463.474	876.955
46	0.45000	1182.293	-525.892	1403.808	1153.020	-593.615	1096.369	1325.482	-502.481	932.086	1444.627	-480.927	873.702	1426.436	-463.496	876.930
47	0.46000	1182.316	-525.891	1403.817	1153.010	-593.596	1096.340	1325.549	-502.487	932.133	1444.570	-480.903	873.649	1426.441	-463.438	876.938
48	0.47000	1182.302	-525.865	1403.805	1152.994	-593.576	1096.350	1325.509	-502.492	932.109	1444.588	-480.920	873.624	1426.447	-463.427	876.951
49	0.48000	1182.295	-525.877	1403.823	1153.037	-593.588	1096.327	1325.494	-502.462	932.106	1444.563	-480.915	873.605	1426.472	-463.438	876.949
50	0.49000	1182.313	-525.898	1403.828	1153.019	-593.599	1096.347	1325.525	-502.495	932.119	1444.565	-480.924	873.662	1426.466	-463.441	876.963
51	0.50000	1182.308	-525.893	1403.841	1153.011	-593.572	1096.364	1325.546	-502.466	932.120	1444.615	-480.943	873.730	1426.454	-463.483	876.977
