NO_OF_FRAMES	4008
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:14:24.475	198161.59070420
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Mixed
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
1	0.00000	1236.503	-483.593	1389.231	1156.583	-547.226	1092.242	1315.866	-465.454	919.918	1433.757	-472.765	873.181	1422.519	-449.166	875.912
2	0.01000	1236.468	-483.636	1389.210	1156.539	-547.233	1092.232	1315.846	-465.458	919.919	1433.730	-472.721	873.171	1422.536	-449.167	875.880
3	0.02000	1236.456	-483.649	1389.194	1156.486	-547.261	1092.130	1315.872	-465.442	919.955	1433.775	-472.745	873.172	1422.465	-449.171	875.878
4	0.03000	1236.472	-483.662	1389.191	1156.516	-547.261	1092.179	1315.836	-465.463	919.947	1433.756	-472.774	873.127	1422.482	-449.144	875.889
5	0.04000	1236.377	-483.791	1389.187	1156.483	-547.267	1092.181	1315.932	-465.363	919.964	1433.820	-472.731	873.210	1422.538	-449.176	875.892
6	0.05000	1236.347	-483.865	1389.193	1156.458	-547.301	1092.097	1315.885	-465.461	919.982	1433.793	-472.772	873.214	1422.476	-449.169	875.885
7	0.06000	1236.346	-483.878	1389.190	1156.468	-547.270	1092.084	1315.841	-465.481	919.907	1433.794	-472.770	873.205	1422.582	-449.209	876.003
8	0.07000	1236.305	-483.895	1389.158	1156.469	-547.333	1092.025	1315.814	-465.472	919.932	1433.724	-472.808	873.148	1422.454	-449.168	875.897
9	0.08000	1236.291	-483.937	1389.132	1156.456	-547.359	1092.021	1315.810	-465.460	919.953	1433.736	-472.732	873.155	1422.453	-449.161	875.896
10	0.09000	1236.306	-483.903	1389.146	1156.423	-547.353	1092.008	1315.855	-465.459	919.974	1433.762	-472.719	873.193	1422.423	-449.127	875.897
11	0.10000	1236.262	-483.976	1389.092	1156.413	-547.371	1092.010	1315.793	-465.452	919.944	1433.726	-472.721	873.132	1422.447	-449.130	875.872
12	0.11000	1236.234	-484.020	1389.100	1156.339	-547.557	1092.121	1315.832	-465.493	919.959	1433.748	-472.769	873.177	1422.465	-449.144	875.905
13	0.12000	1236.212	-484.131	1389.080	1156.387	-547.364	1091.990	1315.809	-465.471	919.941	1433.745	-472.761	873.209	1422.442	-449.144	875.891
14	0.13000	1236.082	-484.185	1389.057	1156.302	-547.400	1091.882	1315.773	-465.496	919.914	1433.716	-472.777	873.213	1422.522	-449.207	876.004
15	0.14000	1236.100	-484.199	1388.993	1156.321	-547.439	1091.866	1315.795	-465.379	919.925	1433.721	-472.764	873.178	1422.444	-449.145	875.899
16	0.15000	1236.076	-484.225	1388.944	1156.272	-547.443	1091.884	1315.785	-465.484	919.925	1433.712	-472.751	873.169	1422.446	-449.142	875.902
17	0.16000	1236.038	-484.208	1388.874	1156.244	-547.374	1091.837	1315.819	-465.342	919.909	1433.693	-472.730	873.149	1422.429	-449.129	875.848
18	0.17000	1236.025	-484.269	1388.828	1156.211	-547.434	1091.783	1315.741	-465.506	919.920	1433.702	-472.768	873.190	1422.418	-449.143	875.884
19	0.18000	1235.992	-484.337	1388.857	1156.193	-547.380	1091.763	1315.748	-465.510	919.881	1433.709	-472.777	873.219	1422.446	-449.164	875.884
20	0.19000	1235.934	-484.359	1388.808	1156.186	-547.392	1091.762	1315.812	-465.379	919.914	1433.722	-472.767	873.199	1422.518	-449.175	875.994
21	0.20000	1235.917	-484.408	1388.826	1156.143	-547.422	1091.761	1315.803	-465.481	919.922	1433.728	-472.766	873.201	1422.516	-449.215	876.032
22	0.21000	1235.902	-484.337	1388.744	1156.158	-547.404	1091.730	1315.760	-465.486	919.860	1433.708	-472.782	873.163	1422.427	-449.163	875.892
23	0.22000	1235.869	-484.345	1388.714	1156.147	-547.422	1091.715	1315.720	-465.504	919.860	1433.731	-472.757	873.225	1422.416	-449.159	875.862
24	0.23000	1235.851	-484.371	1388.717	1156.094	-547.436	1091.686	1315.749	-465.277	919.738	1433.728	-472.708	873.218	1422.412	-449.165	875.866
25	0.24000	1235.840	-484.385	1388.695	1156.120	-547.417	1091.701	1315.616	-465.480	919.669	1433.706	-472.734	873.198	1422.438	-449.155	875.883
26	0.25000	1235.807	-484.386	1388.672	1156.135	-547.414	1091.660	1315.694	-465.547	919.798	1433.736	-472.777	873.223	1422.433	-449.190	875.884
27	0.26000	1235.812	-484.360	1388.676	1156.138	-547.436	1091.716	1315.717	-465.517	919.804	1433.719	-472.782	873.179	1422.494	-449.205	875.973
28	0.27000	1235.783	-484.345	1388.702	1156.164	-547.415	1091.665	1315.643	-465.547	919.756	1433.732	-472.790	873.256	1422.498	-449.277	875.987
29	0.28000	1235.771	-484.285	1388.748	1156.244	-547.470	1091.676	1315.688	-465.559	919.757	1433.689	-472.769	873.193	1422.431	-449.223	875.858
30	0.29000	1235.727	-484.241	1388.762	1156.310	-547.427	1091.663	1315.658	-465.341	919.553	1433.683	-472.768	873.197	1422.388	-449.155	875.872
31	0.30000	1235.640	-484.196	1388.814	1156.421	-547.487	1091.693	1315.557	-465.442	919.421	1433.687	-472.737	873.174	1422.387	-449.141	875.836
