NO_OF_FRAMES	719
NO_OF_CAMERAS	10
NO_OF_MARKERS	8
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:29:07.453	199044.62658890
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb	Middle	Ring	Pinky
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Mixed
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	Middle X	Middle Y	Middle Z	Ring X	Ring Y	Ring Z	Pinky X	Pinky Y	Pinky Z	
24	0.23000	1565.844	89.086	1333.101	1549.660	91.672	1028.659	1798.731	98.844	1028.153	1977.707	95.861	1008.974	1902.634	46.272	1051.055	1988.491	122.363	1011.637	1972.318	152.335	1017.935	1950.498	168.040	1016.965
25	0.24000	1565.887	89.133	1333.066	1549.659	91.687	1028.677	1798.714	98.854	1028.100	1977.758	95.886	1008.959	1902.634	46.300	1051.075	1988.476	122.357	1011.626	1972.286	152.332	1017.935	1950.486	168.020	1016.994
26	0.25000	1565.939	89.170	1333.058	1549.660	91.670	1028.658	1798.717	98.860	1028.104	1977.727	95.878	1008.959	1902.653	46.278	1051.121	1988.504	122.390	1011.653	1972.311	152.361	1017.954	1950.478	168.008	1017.040
27	0.26000	1565.961	89.207	1333.070	1549.656	91.731	1028.639	1798.720	98.883	1028.108	1977.736	95.881	1008.951	1902.631	46.295	1051.089	1988.557	122.463	1011.687	1972.254	152.399	1017.901	1950.486	168.022	1017.004
28	0.27000	1566.048	89.240	1333.073	1549.681	91.688	1028.708	1798.728	98.863	1028.103	1977.749	95.875	1008.969	1902.629	46.298	1051.082	1988.487	122.418	1011.657	1972.299	152.407	1017.950	1950.477	168.039	1017.005
29	0.28000	1566.087	89.292	1333.068	1549.694	91.712	1028.736	1798.706	98.893	1028.107	1977.774	95.916	1008.972	1902.627	46.328	1051.125	1988.520	122.462	1011.641	1972.267	152.436	1017.884	1950.495	168.084	1016.992
30	0.29000	1566.168	89.345	1333.102	1549.706	91.709	1028.697	1798.765	98.886	1028.169	1977.766	95.906	1008.968	1902.641	46.363	1051.126	1988.548	122.444	1011.656	1972.296	152.421	1017.879	1950.458	168.016	1016.949
31	0.30000	1566.166	89.361	1333.070	1549.691	91.756	1028.697	1798.724	98.899	1028.131	1977.785	95.903	1008.975	1902.639	46.353	1051.119	1988.569	122.494	1011.639	1972.285	152.441	1017.884	1950.503	168.035	1017.003
32	0.31000	1566.240	89.393	1333.092	1549.683	91.656	1028.728	1798.723	98.925	1028.141	1977.764	95.890	1008.996	1902.621	46.325	1051.132	1988.601	122.511	1011.685	1972.344	152.378	1017.907	1950.526	168.054	1017.064
33	0.32000	1566.279	89.414	1333.097	1549.717	91.749	1028.712	1798.758	98.862	1028.147	1977.775	95.884	1008.970	1902.633	46.329	1051.096	1988.596	122.575	1011.700	1972.335	152.373	1017.919	1950.516	168.018	1017.075
34	0.33000	1566.304	89.444	1333.072	1549.690	91.740	1028.741	1798.731	98.914	1028.123	1977.732	95.876	1008.965	1902.650	46.306	1051.142	1988.602	122.645	1011.706	1972.326	152.380	1017.944	1950.555	168.028	1017.058
35	0.34000	1566.352	89.451	1333.080	1549.717	91.749	1028.712	1798.738	98.892	1028.138	1977.710	95.883	1008.969	1902.623	46.348	1051.140	1988.575	122.627	1011.677	1972.292	152.429	1017.903	1950.462	168.020	1017.018
36	0.35000	1566.411	89.487	1333.048	1549.697	91.744	1028.760	1798.747	98.908	1028.130	1977.783	95.917	1009.008	1902.671	46.369	1051.160	1988.618	122.690	1011.755	1972.266	152.466	1017.874	1950.518	168.067	1017.054
37	0.36000	1566.469	89.510	1333.077	1549.718	91.773	1028.703	1798.737	98.927	1028.146	1977.730	95.919	1009.020	1902.670	46.370	1051.159	1988.613	122.674	1011.756	1972.282	152.399	1017.904	1950.462	168.023	1017.049
38	0.37000	1566.509	89.516	1333.096	1549.671	91.720	1028.768	1798.746	98.921	1028.158	1977.759	95.914	1009.039	1902.669	46.386	1051.179	1988.669	122.709	1011.833	1972.343	152.426	1017.969	1950.478	168.062	1017.088
39	0.38000	1566.549	89.573	1333.085	1549.716	91.747	1028.709	1798.706	98.913	1028.128	1977.792	95.920	1009.076	1902.668	46.388	1051.178	1988.621	122.666	1011.780	1972.303	152.426	1017.966	1950.511	168.035	1017.079
40	0.39000	1566.593	89.598	1333.086	1549.679	91.727	1028.747	1798.777	98.934	1028.182	1977.762	95.928	1009.062	1902.687	46.366	1051.225	1988.568	122.658	1011.727	1972.254	152.444	1017.901	1950.497	168.069	1017.014
41	0.40000	1566.685	89.647	1333.093	1549.686	91.767	1028.712	1798.747	98.951	1028.136	1977.761	95.923	1009.020	1902.665	46.369	1051.167	1988.688	122.706	1011.856	1972.311	152.432	1017.880	1950.518	168.081	1017.032
42	0.41000	1566.742	89.668	1333.082	1549.718	91.814	1028.744	1798.724	98.893	1028.139	1977.770	95.920	1009.033	1902.683	46.413	1051.176	1988.599	122.682	1011.732	1972.358	152.441	1017.929	1950.478	168.075	1017.008
43	0.42000	1566.815	89.773	1333.134	1549.704	91.750	1028.706	1798.765	98.906	1028.090	1977.791	95.957	1009.085	1902.683	46.406	1051.160	1988.687	122.760	1011.834	1972.318	152.433	1017.897	1950.543	168.076	1017.060
44	0.43000	1566.851	89.768	1333.167	1549.694	91.793	1028.690	1798.721	98.970	1028.131	1977.801	95.933	1009.050	1902.711	46.410	1051.207	1988.660	122.751	1011.819	1972.302	152.480	1017.873	1950.511	168.126	1017.014
45	0.44000	1566.928	89.775	1333.188	1549.701	91.760	1028.763	1798.770	98.933	1028.146	1977.827	95.969	1009.083	1902.708	46.417	1051.220	1988.749	122.754	1011.860	1972.326	152.474	1017.816	1950.556	168.125	1016.959
46	0.45000	1566.953	89.830	1333.171	1549.691	91.787	1028.718	1798.748	98.936	1028.139	1977.872	95.991	1009.108	1902.752	46.449	1051.256	1988.735	122.810	1011.846	1972.370	152.470	1017.805	1950.557	168.133	1016.919
47	0.46000	1566.999	89.808	1333.158	1549.718	91.795	1028.722	1798.728	98.995	1028.142	1977.866	96.004	1009.098	1902.747	46.442	1051.266	1988.725	122.799	1011.845	1972.363	152.501	1017.785	1950.551	168.121	1016.872
48	0.47000	1567.042	89.863	1333.181	1549.719	91.780	1028.734	1798.774	98.963	1028.150	1977.851	96.004	1009.081	1902.748	46.505	1051.212	1988.724	122.780	1011.835	1972.358	152.531	1017.781	1950.487	168.155	1016.814
49	0.48000	1567.058	89.873	1333.170	1549.697	91.756	1028.765	1798.750	98.974	1028.177	1977.855	96.017	1009.097	1902.785	46.467	1051.295	1988.679	122.793	1011.798	1972.365	152.557	1017.770	1950.528	168.179	1016.855
